PID	Status	Label
-	-9	com.apple.dprivacyd
731	0	com.apple.usernoted
4522	0	application.co.highlyopinionated.swish-setapp.574745612.574745624
6482	-9	com.apple.geodMachServiceBridge
-	-9	com.apple.Safari.History
909	0	com.apple.translationd
-	0	com.apple.AddressBook.abd
-	0	com.apple.bluetoothaudiod
6605	-9	com.apple.calaccessd
-	0	com.apple.ScreenReaderUIServer
51711	0	com.apple.newsd
4154	0	application.com.apparentsoft.trickster-setapp.453399153.453399173
3956	0	com.grammarly.ProjectLlama.UpdateService
-	0	com.apple.systemsettingsagent
3959	0	com.microsoft.teams2.respawn
8220	-9	com.apple.swcd
-	0	com.apple.symptomsd.distributed-agent
3962	0	com.apple.AirPlayUIAgent
-	-9	com.apple.backgroundassets.user
-	0	com.apple.cvmsCompAgent_arm64_1
-	0	com.apple.shazamd
88870	0	com.apple.corespotlightd
21197	-9	com.apple.naturallanguaged
-	0	com.apple.netauth.user.gui
-	0	com.apple.watchlistd
750	0	com.apple.xtyped
-	0	com.apple.TMHelperAgent
3972	0	com.grammarly.ProjectLlama.Shepherd
943	0	com.apple.Spotlight
1796	0	com.apple.appstoreagent
-	0	com.apple.AMPDevicesAgent
8013	-9	com.apple.accessibility.mediaaccessibilityd
-	0	com.apple.cvmsCompAgent3425AMD_x86_64_1
-	-9	com.apple.mdworker.sizing
-	0	com.apple.SpeechRecognitionCore.brokerd
1046	0	com.apple.metadata.mdbulkimport
-	0	com.apple.iokit.IOServiceAuthorizeAgent
-	0	com.apple.cvmsCompAgent3600_arm64
6518	-9	com.apple.WorkflowKit.ShortcutsViewService
-	-9	com.apple.carboncore.csnameddata
-	0	com.apple.CoreSimulator.SimLaunchHost-arm64
6515	-9	com.apple.contactsd
-	0	com.apple.cvmsCompAgent3600_x86_64
-	0	com.apple.speech.speechsynthesisd.arm64
-	0	com.apple.CoreRoutine.helperservice
685	0	com.apple.distnoted.xpc.agent
8237	-9	com.apple.SetStoreUpdateService
6488	-9	com.apple.geod
